,price
270993,4690
287078,10385
87194,12500
363251,34990
234242,13795
221418,19590
211261,4995
144202,14998
341420,49999
133029,7495
387356,20000
200723,8999
55534,15999
144065,17900
241232,32038
342602,8000
275039,10999
184421,3999
345863,8995
25272,43900
56814,13990
69752,7500
307207,3900
188779,16995
144090,19444
240016,9999
292445,22999
168641,23950
416371,21700
340866,59999
161749,34995
281789,8900
403396,11995
129788,14495
411859,21991
180125,29999
75805,8995
75858,7250
236682,7950
257289,31500
164448,16995
386949,37991
333854,4800
239115,9999
206384,6000
310344,10995
105937,21990
279269,7700
186899,21995
315439,16700
90074,4300
297277,5400
152615,16999
392784,24998
368952,19995
166673,20995
390605,299
274525,41995
179850,18995
130635,18880
323049,42997
315420,21000
296300,35995
421709,5400
205120,23900
302665,6950
136883,740
41353,24700
194721,38500
183996,20977
324278,6998
266446,30480
255028,24450
244959,12133
383364,9990
409170,13995
381156,11500
282530,23900
185382,15995
339564,174
298072,11000
330961,31500
112402,9900
166564,16500
221137,6200
226268,36816
290222,6799
301355,14988
244797,15500
299531,3500
272148,20997
41254,39995
200164,32000
29327,13495
39297,25724
307636,11000
168864,7998
54353,5995
252132,10950
403769,13995
297607,24950
17237,8199
284030,5700
112909,9500
93861,13660
379725,10316
262617,2800
354845,33900
98909,1800
280494,6995
353851,32000
310012,17590
395871,50999
119938,25000
328466,2400
239657,15995
278016,20990
367979,22522
310923,5297
408483,24498
353145,23900
291842,14200
86304,17800
401027,16988
20362,12990
248500,11550
339186,13990
287863,24995
34068,35995
203574,11900
253846,19995
402405,35000
213372,6491
327470,6950
72411,3450
181964,8950
142594,34990
229095,12995
301936,20995
249012,4500
411615,20495
157642,19900
393335,66995
224445,8400
387788,1500
392147,18990
269921,28500
389560,7900
283184,45000
395327,41990
406388,39000
233096,3500
71104,33995
79939,10999
194551,12000
26866,6997
10332,31997
198876,9495
78282,10990
166252,28900
297774,7500
421735,5900
169003,13987
344717,18590
300389,10200
308821,52990
48886,12500
215110,15500
303739,7995
399629,11695
378487,8100
193549,32200
85604,5200
355987,15995
248694,17590
41222,13500
221033,6995
291963,16995
397084,23900
395223,14950
209746,45999
227042,39634
339997,258
280854,14000
171407,7995
205668,3995
47707,8500
337499,9988
384421,8995
226648,2900
316516,13995
8585,16990
184362,18997
274832,9995
418186,8995
345156,5450
219198,30990
335840,33990
318660,12900
329176,8495
264474,16990
256145,7850
234905,13024
88101,19788
305235,11999
100613,30995
201370,43900
333583,81999
194346,39999
372894,32990
95080,4900
388415,6995
144781,19590
188856,7495
282584,16900
265331,22990
160525,17495
260226,24950
410475,21995
110459,7000
201769,17250
229738,9995
15962,7900
263900,20990
193712,17995
397653,59950
410926,32500
311793,32900
338450,27500
124724,38000
317227,20988
199856,8988
135901,9495
202639,259
341975,2000
288963,18995
8082,35990
206721,6995
354674,12995
309869,10000
4643,17990
192931,9995
139690,34995
79706,33990
346345,4995
243082,6999
234373,13950
148562,18980
259802,22822
128499,5500
250968,14990
26047,7850
406862,31590
53870,5450
328111,6500
252302,7495
108997,12785
356921,18950
15622,10900
231950,14000
294818,8499
320739,7800
267461,9995
266248,14988
342130,13500
136223,9477
150773,16995
332632,12391
377938,11800
341085,17990
405457,13500
412192,4999
331032,59999
71546,26995
399378,35000
289194,7500
412574,6900
226930,7450
341289,12995
102083,14995
404639,30982
112236,7500
215368,14500
288228,18995
250941,21495
220312,13950
28774,20000
78213,8950
373086,18995
227593,38995
379747,23380
278287,8800
102629,16000
413750,6500
283218,11200
236183,10988
360182,15000
377741,19500
250997,24995
187006,6799
358521,14995
89244,11000
395987,6350
52391,5500
41350,21990
310535,39292
138016,28500
254787,188
309210,24999
234533,16500
40361,22499
358146,34991
290148,12700
192966,21900
302882,16995
320868,29990
368434,26771
368122,6999
403413,32995
368954,17500
285537,9999
219116,5995
313453,7999
416653,13000
